building_id,floor_id,apartment_id,area_sim,iou,haus,score
438,1723,9f0d1b06e5dc88e524fe26a09a760fdc,0.3723670113483176,0.3723670113483177,2.046871754884436,0.36444967519097604
438,1723,2811a36c67d039b99b0be7e125d5a580,0.3633172126556131,0.35715524952428834,3.067762910238125,0.2881889848719606
438,1723,FLOOR_AVERAGE,0.5117395893498274,0.4476634756068674,2.0742848573714037,0.4485301199249811
439,1728,b6d0efec1f4000f9c82738977e09b8ba,0.8364749459375158,0.46643611661284506,1.9231315676839051,0.5326634990678834
439,1728,3b11e67fc624216db87ea9cba8dc7b45,0.4982164339942543,0.48899835479474285,1.9582433700523176,0.4029434115821343
439,1728,467e735f701b7cc5dbc50db4acaee378,0.5589238521369264,0.5047645184849799,2.040447873631082,0.42547534824876254
439,1728,FLOOR_AVERAGE,0.6312050773562322,0.486732996630856,1.9739409371224348,0.45369408629959346
440,11931,42805c514b1d9cc72e2f4c9a643daf97,0.8275440022697843,0.4654881978801226,1.9311506347710234,0.5267462904541186
440,11931,1bde24d5e37503138000a69e4ec90297,0.5628617030341849,0.5059426658885754,2.027810377418307,0.42752174756910416
440,11931,fb7d65d21c8b932b38d3da1f9929c2a8,0.5046311062675446,0.49493355513851134,1.9052276404615525,0.41191602233277763
440,11931,FLOOR_AVERAGE,0.6316789371905046,0.4887881396357365,1.9547295508836278,0.4553946867853334
441,1733,d998341b01d5ba42d96b32742699011a,0.4401864419691427,0.43833597576995814,3.218566759832958,0.35140896709564035
441,1733,7a9d088991db6a1d0c30a4800d65a21c,0.5575503370996495,0.5575503370996496,0.8341101736208735,0.5942091140218415
441,1733,3267ee7de6751e11063aea150393d787,0.3096059172035156,0.3096059172035155,2.8243063666807546,0.2721838616400087
441,1733,11b6ff051751d50c07eecdf5e539261e,0.5379851974303897,0.5340322503149657,3.021699665539201,0.44104019400302585
441,1733,22f71186dec5e0ef731713f51135e996,0.5406835529259764,0.5042826787172482,2.211282035809534,0.4805786213397908
441,1733,7142364e08acdcc669f88d5b6ff18ab3,0.5915121375066839,0.4602376571852005,2.558821018693622,0.46169616188031615
441,1733,FLOOR_AVERAGE,0.49625393068922624,0.4673408027150896,2.4447976700294904,0.43351948666343726
442,1738,2abb75b90787a5705fc207c313c6d789,0.48717834067919563,0.48717834067919574,1.2338587165533839,0.48487393042108806
442,1738,f882da9a6f4f07898d99f656e273400a,0.818601325473507,0.4265248324839249,2.353148691561121,0.49805046318297275
442,1738,aaef48a0d492e682b28ca06629795f9d,0.49390052819381336,0.33267865034175087,2.0572669347523074,0.35577940286612303
