Category,Name,NameDE,NumberCode,Variation,Thickness,Width,Height,LoadBearing,StiffeningFunction,Prefabrication,Placement,Water,Heating,Ventilation,Electricity,FireRequirementsDE,FireRating,AcoustingRating,Finishing,ThermalTransmittance,Version,ImageURL,Reasoning
WALL,Ventilated exterior wall above ground with installation layer,Oberirdische Aussenwand hinterlüftet mit Installationsebene,WAL_21,,480,1000,3000,FALSE,FALSE,Facade,EXTERNAL,FALSE,FALSE,TRUE,TRUE,GK V,FACADE,FACADE,RENDER,0.14,2405,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1,
WALL,Ventilated exterior wall above ground,Oberirdische Aussenwand hinterlüftet,WAL_22,,418,1000,3000,FALSE,FALSE,Facade,EXTERNAL,FALSE,FALSE,TRUE,TRUE,GK V,FACADE,FACADE,RENDER,,2405,https://www.dropbox.com/scl/fi/w0vkri0d6ccr7cy02qj7o/WAL_22.png?rlkey=zbfneivwem8db4a2ksipq8enn&st=ytidjiss&dl=1,
WALL,Flat partition timber frame wall,Wohnungstrennwand Holzrahmenbau,WAL_23,,212,1000,3000,FALSE,TRUE,3D Mod,INTERNAL,FALSE,FALSE,FALSE,TRUE,GK V,UNIT PARTITION,UNIT PARTITION,RENDER,,2405,https://www.dropbox.com/scl/fi/wxzgjjvq18xmy4cl4rqg9/WAL_23.png?rlkey=k963qda8ob2nm8mu1cw2rvlq7&dl=1,Stromverteilungkasten in Wand/Schallschutz 3D/Brandschutz 2D
WALL,Shaft wall,Schacht ,WAL_24,,200,1000,3000,FALSE,FALSE,3D Mod,INTERNAL,TRUE,TRUE,TRUE,TRUE,GK V,SHAFT,IN UNIT,RENDER/TILES,,2405,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1,2 versions: Germany and Switzerland?
WALL,Room partition wall,Innenwand,WAL_25,,90,1000,3000,FALSE,FALSE,3D Mod,INTERNAL,FALSE,FALSE,FALSE,TRUE,GK V,FALSE,IN UNIT,RENDER,,2405,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1,
WALL,Concrete semi-finished elements wall,Betonwand halbfertige Elemente,WAL_26,,250,1000,3000,TRUE,TRUE,In Situ,INTERNAL,FALSE,FALSE,FALSE,TRUE,GK V,ESCAPE,DISTRIBUTION,UNTREATED,,2405,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1,
WALL,Stiffening interior wall with installation layer,Aussteifende Innenwand mit Installationsebene,WAL_27,,115,1000,3000,FALSE,TRUE,3D Mod,INTERNAL,FALSE,FALSE,FALSE,TRUE,GK V,FALSE,IN UNIT,RENDER/TILES,,2405,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1,
WALL,Massive timber partition wall,Wohnungstrennwand Massiv,WAL_28,,276,1000,3000,FALSE,FALSE,2D Panels,INTERNAL,FALSE,FALSE,FALSE,TRUE,GK V,UNIT PARTITION,UNIT PARTITION,RENDER,,2405,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1,Kein Rücksprung
WALL,Room partition wall,Innenwand,WAL_29,,90,1000,3000,FALSE,FALSE,2D Panels,INTERNAL,FALSE,FALSE,FALSE,FALSE,GK V,FALSE,IN UNIT,RENDER,,2405,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1,
WALL,Stiffening interior wall on prefabricated bathroom,Aussteifende Innenwand am Fertigbad,WAL_30,,98,1000,3000,FALSE,TRUE,3D Mod,INTERNAL,FALSE,FALSE,FALSE,TRUE,GK V,FALSE,IN UNIT,RENDER,,2405,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1,
